id	IDSendungname	Länge	Serie	Sendezeit	Titel	Description	Sender	MO	DI	MI	DO	FR	SA	SO	Filename	Bild
876	Sternstunden 08 A	00:38:00	MED	05.09.2026 00:00:00	Unser physischer Leib: Der Mikrokosmos im Makrokosmos	Meditation zur Verinnerlichung und Gesundung, Sternstunden mit Gabriele vom 06.09.2002.	SNJ	False	False	False	False	False	False	False	DE_MED_SternPhysischerLeib_008_16zu9.mpg	Sternstunden-08.jpg
881	FGE VerbindeSei 02 AB	00:10:00	GR-ALLG	05.09.2026 00:45:00	Sein Wort - ewige Gegenwart: Ich bin das Wort durch sie	Kurzsendung unter dem Motto "Wir sind die Freien Gemeinschaften – verbinde und sei" (2)	SNJ	False	False	False	False	False	False	False	DE_FGE_Les_02SeinWortEwigeGegenwart_16zu9.mpg	FGE VerbindeSei.jpg
884	InnererWeg 02	00:25:30	GR-LEB	05.09.2026 01:00:00	Der Innere Weg zum kosmischen Bewusstsein	Habe Mut zur Selbsterkenntnis. Lesung zum Inneren Weg, dem Christus-Gottes-Weg hin zu einer höheren Kultur und einem friedvollen Menschentum, Grundstufe der Ordnung	SNJ	False	False	False	False	False	False	False	DE_GR-IW_InnernerWeg2022_02_16zu9.mpg	InnererWeg.jpg
892	HineinfühlenVaterUnser UT	00:18:00	MED	05.09.2026 01:35:00	Fühlen wir uns in das Vaterunser hinein	Meditation zur Verinnerlichung, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches am 06.05.2005. Mit Untertiteln	SNJ	False	False	False	False	False	False	False	DE_MED_CH141HineinfuehlenVa_UT__2607s02v2utDE.mpg	HineinfühlenVaterunser.jpg
899	GemeindeWeinAug26	01:41:30	GR-ALLG	05.09.2026 02:00:30	Urchristliches Gemeindetreffen am Weinberg auf dem Christus-Jesaja-Land	im August 2026, dem Jahr 3 des messianischen, sophianischen Zeitalters 	SNJ	False	False	False	False	False	False	False	DE_SON_GemeindeWeinAug26__2607s09v1ogDE.mpg	GemeindeWeinAug26.jpg
903	SchuleLeben 33 A	00:18:30	GR-LEB	05.09.2026 04:00:00	Die wahre Schule ist das Leben (33)	Wie ist unser Leben - gehen wir himmelwärts oder zur Wiederverkörperung? Lehrstunden aus der göttlichen Weisheit	SNJ	False	False	False	False	False	False	False	DE_DWS_33WieIstUnserLeben_16zu9.mpg	SchuleLeben 02.jpg
907	Urlicht 02 A	00:58:00	MED	05.09.2026 04:25:00	Das Ur-Licht für alle Menschen	Heilmeditation mit dem Thema: Entwickle die Selbstheilungskräfte. Heile Dich mit der Christus-Gottes-Kraft, gegeben von Gabriele, der Prophetin und Botschafterin des Ewigen Reiches, Folge 2: Die Gnade Gottes ist die große Liebe, die ständig an Deine Herzenspforte pocht	SNJ	False	False	False	False	False	False	False	DE_MED_Urlicht_02_NEU_16zu9.mpg	Urlicht.jpg
911	Pflanzensude	00:20:30	REP	05.09.2026 05:30:00	Eine neue Landwirtschaft für die Neue Zeit - Pflanzensude	Pflanzensude - flüssige Stärkung fürs Feld! Eine Landwirtschaft im Einklang mit der Natur. Dokumentation	SNJ	False	False	False	False	False	False	False	DE_DOK_LandSude_NAE2_16zu9.mpg	Pflanzensude.jpg
919	IhreGedanken 16 6Sa	00:13:00	MED-TAG	05.09.2026 06:00:00	Ihre Gedanken sind Ihr Tag	Die Zukunft liegt in unserer Hand. Meditation am Morgen für einen guten Tag, von Gabriele	SNJ	False	False	False	False	False	False	False	DE_GH_KW_16_Samstag006_NeuAltErsetzen_16zu9.mpg	IhreGedanken.jpg
926	Organansprache 2	01:07:30	MED	05.09.2026 06:20:30	Organansprechung aus dem Geiste Gottes	Ansprechung des Bewusstseinszentrums der Willens. Meditation zur Gesundheit "Die Organe Ihres Körpers rufen. Geben Sie ihnen Nahrung!"	SNJ	False	False	False	False	False	False	False	DE_MED_Organ_002_16zu9.mpg	Organansprache.jpg
