id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
1	48473	Gemeinde Sept2026	SON	01:50:00	28.09.2026 00:00:00	Reunión de la Comunidad cristiano-originaria en Altfeld, Alemania	La Comunidad base del Señor para la construcción del Reino de Paz del Cristo de Dios. Septiembre de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	LilieKerzenGemeindeSept26.jpg
3	42218	FGE VS Les 11 Vaterworte	FGE	00:07:00	28.09.2026 01:52:30	Somos las colectividades libres - Une y sé (11) 	Palabras del Padre también para ti		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
6	28510	InnereAndacht 03	MED	00:55:30	28.09.2026 02:02:00	Recogimiento Interno. Parte 3: Grabación original  de la serie: Las grandes enseñanzas cósmicas. Dada a través de Gabriele	Recogimiento Interno. Parte 3: Grabación original  de la serie: Las grandes enseñanzas cósmicas. Dada a través de Gabriele		False	False	False	False	False	False	False	InnereAndacht_00.jpg
13	23732	DasIstMeinWort 10	LES	00:23:00	28.09.2026 03:03:30	Esta es Mi Palabra, Alfa y Omega. Capítulo 20: Regreso de los setenta y dos (1ª parte)	Esta es Mi Palabra, Alfa y Omega. Capítulo 20: Regreso de los setenta y dos (1ª parte)		False	False	False	False	False	False	False	DIMW_ES-00.jpg
16	48424	Häuptling Seattle	LES	00:20:00	28.09.2026 03:32:00	El discurso del Gran Jefe Seattle	Lecturada de: El discurso del Gran Jefe Seattle		False	False	False	False	False	False	False	HäuplichSeattle.jpg
18	48358	Christus Felsenbrunnen26	OFF	00:34:30	28.09.2026 03:55:00	El Cristo de Dios durante la reunión en el espíritu cristiano-originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	El Cristo de Dios durante la reunión en el espíritu cristiano-originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul.jpg
24	42715	UnsereHeimat	MED	00:33:30	28.09.2026 04:35:00	Meditación. Nuestra Hogar en la Existencia eterna pura	Meditación. Nuestra Hogar en la Existencia eterna pura		False	False	False	False	False	False	False	Seerosen.jpg
33	33989	WerWarJesus 01	LES	00:24:30	28.09.2026 05:21:30	¿Quién fue Jesús de Nazaret? Parte 1	¿Quién fue Jesús de Nazaret? Parte 1		False	False	False	False	False	False	False	JesusStatue.jpg
35	48439	MutterKyber	LES	00:10:30	28.09.2026 05:48:00	"Madre" de Manfred Kyber	Lecturada de: "Madre" de Manfred Kyber		False	False	False	False	False	False	False	KyberMutter.jpg
37	35876	SchuleLeben 14	DWS	00:24:30	28.09.2026 06:00:00	Armonía es la vida de la empresa	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	DWSharmonieBetriebe.jpg
45	05495	Morgenmed. 1	MED	00:12:00	28.09.2026 06:37:30	Meditación matinal (15)	Meditación matinal (15)		False	False	False	False	False	False	False	ErlebeDieEinheit.jpg
48	44378	Nachruhm	LES	00:24:30	28.09.2026 06:54:00	Una lectura: "Gloria póstuma" de Manfred Kyber	Una lectura: "Gloria póstuma" de Manfred Kyber		False	False	False	False	False	False	False	ES_Nachrruhm2.jpg
51	20962	Medikurs1 11	MED	00:35:00	28.09.2026 07:24:00	Meditaciones cristiano-originarias. (Curso 1º, med. 11)	Meditaciones cristiano-originarias. (Curso 1º, med. 11): «Yo soy el constructor de mi propio destino»		False	False	False	False	False	False	False	Medikurs.jpg
54	35386	1KiZ-03WahrnehmTiere	LIOS	00:21:00	28.09.2026 08:00:30	Liobaní: La fina percepción de los animales.	La escuela para la Nueva Jerusalén, para otra época – bajo el signo del Cristo de Dios, del amor a Dios y al prójimo.		False	False	False	False	False	False	False	LiobaniSchule_ES.jpg
57	17887	IchBerate 03	LIOS	00:13:30	28.09.2026 08:23:30	LIOBANÍ: "No eduquéis a vuestros hijos de forma autoritaria, sed ejemplos positivos"	La Escuela-LIOBANÍ para jóvenes y adultos: Yo aconsejo. Y tú ¿lo aceptas? 3		False	False	False	False	False	False	False	Liobani.jpg
60	09831	Knirps 39 So	GEKK	00:12:30	28.09.2026 08:39:30	La cigarra y la hormiga	Cuento para niños de Knipi, el duende cuentacuentos		False	False	False	False	False	False	False	MKGrilleUndAmeise.jpg
63	48473	Gemeinde Sept2026	SON	01:50:00	28.09.2026 09:00:00	Reunión de la Comunidad cristiano-originaria en Altfeld, Alemania	La Comunidad base del Señor para la construcción del Reino de Paz del Cristo de Dios. Septiembre de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	LilieKerzenGemeindeSept26.jpg
65	41807	FGE VS Les 07 Bergpredigt	FGE	00:06:00	28.09.2026 10:54:00	Somos las colectividades libres - Une y sé (7) 	El Sermón de la Montaña. El camino hacia una vida plena		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
